track,artist,album
Prens & Prenses,Simge,Prens & Prenses
Pus,Sufle,Pus
Radio,Lana Del Rey,Born To Die (Deluxe Version)
Rahat,Pilli Bebek,Olsun
Religiosamente,La rappresentante di lista,My Mamma
Reputation,Post Malone,Twelve Carat Toothache
Ridiculous Thoughts,The Cranberries,No Need To Argue (The Complete Sessions 1994-1995)
Rise Like A Phoenix,Conchita Wurst,Rise Like A Phoenix
Run,Joji,Nectar
Rüya,Sertab Erener,Lâ'l
Saatim Çalmadan,Şebnem Ferah,Perdeler
Saçma,Candan Erçetin,Elbette
Sahici,Bengü,İkinci Hal
Saki,Sıla,Yeni Ay
Samatya'da İlk Rakı,Melike Şahin,Merhem
Same Ol’ Mistakes,Rihanna,ANTI (Deluxe)
Sanctuary,Joji,Nectar
Sardunyanın Kırmızısı,Melike Şahin,Merhem
Sarıl Bana,Sertab Erener,Sertab Erener
Sarmaşık,Evdeki Saat,Sarmaşık
"saudade, saudade",MARO,Festival Da Canção 2022
"Sea, Swallow Me",Cocteau Twins,The Moon and the Melodies
sek,Sıla,şarkıcı
Sen Affetsen,Bergen,Acıların Kadını
Seni Bugün Görmem Lazım,Nazan Öncel,Hatırına Sustum
Seni Düşünmek Güzel Şey,Karsu,Ezginin Günlüğü 40 Yıllık Şarkılar
Seni Gördüm Rüyamda,Canozan,Seni Gördüm Rüyamda
Seni Kimler Aldı,Sezen Aksu,Gülümse
Sen Kocaman Çöllerde - Live,Canozan,"Dolunay, Vol. 2 (Live)"
Sen Ona Aşıksın - Kabullenme,Model,Levla'nın Hikayesi (Bonus Edition)
Sen Orda Yoksun,Göksel,Sen Orda Yoksun
Sensizim,Sezen Aksu,Sevgilerimle
Sessiz Gemi,Hümeyra,Hümeyra (Türk Pop Tarihi)
Sevdim Seni Bir Kere,Teoman,Gönülçelen
Sevgili Kaybım,Sıla,Yeni Ay
Sevişmeden Uyumayalım,Sıla,İmza
Shiver,Coldplay,Parachutes
Sil Baştan,Şebnem Ferah,Perdeler
Sır,Aleyna Tilki,Sır
Sk8er Boi,Avril Lavigne,Let Go
SNAP,Rosa Linn,SNAP
Sokak Kedisi,Nilüfer,Esmer Günler
Someone Like You,Adele,21
Something In The Way,Nirvana,Nevermind (Remastered)
